Id,top_left,top_right,bottom_left,bottom_right,top_left_description,top_right_description,bottom_left_description,bottom_right_description,top_left_sentence,top_right_sentence,bottom_left_sentence,bottom_right_sentence,answer,Image
Field 1,Field 2,Field 3,Field 4,Field 5,Field 6,Field 7,Field 8,Field 9,Field 10,Field 11,Field 12,Field 13,Field 14,Field 15
Practice, jealous, panicked, arrogant, hateful,envious,"distraught, feeling of terror or anxiety","conceited, self-important, having a big opinion of oneself",showing intense dislike,"Tony was jealous of all the taller, better-looking boys in his class.","On waking to find the house on fire, the whole family was panicked.",The arrogant man thought he knew more about politics than everyone else in the room.,The two sisters were hateful to each other and always fighting., panicked,Https://markwhiting.github.io/rme/RMET_Practise.png
1, playful, comforting, irritated, bored,full of high spirits and fun,"consoling, compassionate","exasperated, annoyed","blase, disinterested",Neil was feeling playful at his birthday party.,The nurse was comforting the wounded soldier.,Frances was irritated by all the junk mail she received.,"Bored, she switched from one channel to the next.", playful,Https://markwhiting.github.io/rme/RMET_Face01.png
2, terrified, upset, arrogant, annoyed,"alarmed, fearful","agitated, worried, uneasy","conceited, self-important, having a big opinion of oneself","irritated, displeased",The boy was terrified when he thought he saw a ghost.,The man was very upset when his mother died.,The arrogant man thought he knew more about politics than everyone else in the room.,Jack was annoyed when he found out he had missed the last bus home., upset,Https://markwhiting.github.io/rme/RMET_Face02.png
3, flustered, joking, desire, convinced,"confused, nervous and upset","being funny, playful","passion, lust, longing for","certain, absolutely positive",Sarah felt a bit flustered when she realised how late she was for the meeting and that she had forgotten an important document.,Gary was always joking with his friends.,Kate had a strong desire for chocolate.,Richard was convinced he had come to the right decision., desire,Https://markwhiting.github.io/rme/RMET_Face03.png
4, joking, insisting, amused, relaxed,"being funny, playful","demanding, persisting, maintaining",finding something funny,"taking it easy, calm, carefree",Gary was always joking with his friends.,"After a work outing, Frank was insisting he paid the bill for everyone.",I was amused by a funny joke someone told me.,"On holiday, Pam felt happy and relaxed.", insisting,Https://markwhiting.github.io/rme/RMET_Face04.png
5, irritated, sarcastic, worried, friendly,"exasperated, annoyed","cynical, mocking, scornful","anxious, fretful, troubled","sociable, amiable",Frances was irritated by all the junk mail she received.,The comedian made a sarcastic comment when someone came into the theatre late.,"When her cat went missing, the girl was very worried.",The friendly girl showed the tourists the way to the town centre., worried,Https://markwhiting.github.io/rme/RMET_Face05.png
6, aghast, fantasizing, impatient, alarmed,"horrified, astonished, alarmed",daydreaming,"restless, wanting something to happen soon","fearful, worried, filled with anxiety",Jane was aghast when she discovered her house had been burgled.,Emma was fantasizing about being a film star.,Jane grew increasingly impatient as she waited for her friend who was already 20 minutes late.,Claire was alarmed when she thought she was being followed home., fantasizing,Https://markwhiting.github.io/rme/RMET_Face06.png
7, apologetic, friendly, uneasy, dispirited,feeling sorry,"sociable, amiable","unsettled, apprehensive, troubled","glum, miserable, low",The waiter was very apologetic when he spilt soup all over the customer.,The friendly girl showed the tourists the way to the town centre.,Karen felt slightly uneasy about accepting a lift from the man she had only met that day.,Adam was dispirited when he failed his exams., uneasy,Https://markwhiting.github.io/rme/RMET_Face07.png
8, despondent, relieved, shy, excited,"gloomy, despairing, without hope",freed from worry or anxiety,"shamed, insecure","agitated, eager",Gary was despondent when he did not get the job he wanted.,"At the restaurant, Ray was relieved to find that he had not forgotten his wallet.",She asked for forgiveness shyly.,He had been looking forward to the letter and was excited when it arrived., despondent,Https://markwhiting.github.io/rme/RMET_Face08.png
9, annoyed, hostile, horrified, preoccupied,"irritated, displeased",unfriendly,"terrified, appalled","absorbed, engrossed in one's own thoughts",Jack was annoyed when he found out he had missed the last bus home.,The two neighbours were hostile towards each other because of an argument about loud music.,The man was horrified to discover that his new wife was already married.,Worrying about her mother's illness made Debbie preoccupied at work, preoccupied,Https://markwhiting.github.io/rme/RMET_Face09.png
10, cautious, insisting, bored, aghast,"careful, wary","demanding, persisting, maintaining","blase, disinterested","horrified, astonished, alarmed",Sarah was always a bit cautious when talking to someone she did not know.,"After a work outing, Frank was insisting he paid the bill for everyone.","Bored, she switched from one channel to the next.",Jane was aghast when she discovered her house had been burgled., cautious,Https://markwhiting.github.io/rme/RMET_Face10.png
11, terrified, amused, regretful, flirtatious,"alarmed, fearful",finding something funny,sorry,"brazen, saucy, teasing, playful",The boy was terrified when he thought he saw a ghost.,I was amused by a funny joke someone told me.,Lee was always regretful that he had never travelled when he was younger.,Connie was accused of being flirtatious when she winked at a stranger at a party., regretful,Https://markwhiting.github.io/rme/RMET_Face11.png
12, indifferent, embarrassed, sceptical, dispirited,"disinterested, unresponsive, don't care",ashamed,"doubtful, suspicious, mistrusting","glum, miserable, low",Terry was completely indifferent as to whether they went to the cinema or the pub.,"After forgetting a colleague's name, Jenny felt very embarrassed.",Patrick looked sceptical as someone read out his horoscope to him.,Adam was dispirited when he failed his exams., sceptical,Https://markwhiting.github.io/rme/RMET_Face12.png
13, decisive, anticipating, threatening, shy,already made your mind up,expecting,"menacing, intimidating","shamed, insecure",Jane looked very decisive as she walked into the polling station.,"At the start of the football match, the fans were anticipating a quick goal.","The large, drunken man was acting in a very threatening way.",She asked for forgiveness shyly., anticipating,Https://markwhiting.github.io/rme/RMET_Face13.png
14, irritated, disappointed, depressed, accusing,"exasperated, annoyed","displeased, disgruntled",miserable,blaming,Frances was irritated by all the junk mail she received.,Manchester United fans were disappointed not to win the Championship.,George was depressed when he didn't receive any birthday cards.,The policeman was accusing the man of stealing a wallet., accusing,Https://markwhiting.github.io/rme/RMET_Face14.png
15, flustered, contemplative, encouraging, amused,"confused, nervous and upset","reflective, thoughtful, considering","hopeful, heartening, supporting",finding something funny,Sarah felt a bit flustered when she realised how late she was for the meeting and that she had forgotten an important document.,John was in a contemplative mood on the eve of his 60th birthday.,All the parents were encouraging their children in the school sports day.,I was amused by a funny joke someone told me., contemplative,Https://markwhiting.github.io/rme/RMET_Face15.png
16, irritated, thoughtful, encouraging, sympathetic,"exasperated, annoyed",thinking about something,"hopeful, heartening, supporting","kind, compassionate",Frances was irritated by all the junk mail she received.,Phil looked thoughtful as he sat waiting for the girlfriend he was about to finish with.,All the parents were encouraging their children in the school sports day.,The nurse looked sympathetic as she told the patient the bad news., thoughtful,Https://markwhiting.github.io/rme/RMET_Face16.png
17, doubtful, affectionate, playful, aghast,"dubious, suspicious, not really believing",showing fondness towards someone,full of high spirits and fun,"horrified, astonished, alarmed",Mary was doubtful that her son was telling the truth.,Most mothers are affectionate to their babies by giving them lots of kisses and cuddles.,Neil was feeling playful at his birthday party.,Jane was aghast when she discovered her house had been burgled., doubtful,Https://markwhiting.github.io/rme/RMET_Face17.png
18, decisive, amused, aghast, bored,already made your mind up,finding something funny,"horrified, astonished, alarmed","blase, disinterested",Jane looked very decisive as she walked into the polling station.,I was amused by a funny joke someone told me.,Jane was aghast when she discovered her house had been burgled.,"Bored, she switched from one channel to the next.", decisive,Https://markwhiting.github.io/rme/RMET_Face18.png
19, arrogant, grateful, sarcastic, tentative,"conceited, self-important, having a big opinion of oneself",thankful,"cynical, mocking, scornful","hesitant, uncertain, cautious",The arrogant man thought he knew more about politics than everyone else in the room.,Kelly was very grateful for the kindness shown by the stranger.,The comedian made a sarcastic comment when someone came into the theatre late.,Andrew felt a bit tentative as he went into the room full of strangers., tentative,Https://markwhiting.github.io/rme/RMET_Face19.png
20, dominant, friendly, guilty, horrified,"commanding, bossy","sociable, amiable",feeling sorry for doing something wrong,"terrified, appalled",The sergeant major looked dominant as he inspected the new recruits.,The friendly girl showed the tourists the way to the town centre.,Charlie felt guilty about having an affair.,The man was horrified to discover that his new wife was already married., friendly,Https://markwhiting.github.io/rme/RMET_Face20.png
21, embarrassed, fantasizing, confused, panicked,ashamed,daydreaming,"puzzled, perplexed","distraught, feeling of terror or anxiety","After forgetting a colleague's name, Jenny felt very embarrassed.",Emma was fantasizing about being a film star.,"Lizzie was so confused by the directions given to her, she got lost.","On waking to find the house on fire, the whole family was panicked.", fantasizing,Https://markwhiting.github.io/rme/RMET_Face21.png
22, preoccupied, grateful, insisting, imploring,"absorbed, engrossed in one's own thoughts",thankful,"demanding, persisting, maintaining","begging, pleading",Worrying about her mother's illness made Debbie preoccupied at work,Kelly was very grateful for the kindness shown by the stranger.,"After a work outing, Frank was insisting he paid the bill for everyone.",Nicola looked imploring as she tried to persuade her dad to lend her the car., preoccupied,Https://markwhiting.github.io/rme/RMET_Face22.png
23, contented, apologetic, defiant, curious,satisfied,feeling sorry,"insolent, bold, dont care what anyone else thinks","inquisitive, inquiring, prying","After a nice walk and a good meal, David felt very contented.",The waiter was very apologetic when he spilt soup all over the customer.,The animal protester remained defiant even after being sent to prison.,Louise was curious about the strange shaped parcel., defiant,Https://markwhiting.github.io/rme/RMET_Face23.png
24, pensive, irritated, excited, hostile,thinking about something slightly worrying,"exasperated, annoyed","agitated, eager",unfriendly,Susie looked pensive on the way to meeting her boyfriend's parents for the first time.,Frances was irritated by all the junk mail she received.,He had been looking forward to the letter and was excited when it arrived.,The two neighbours were hostile towards each other because of an argument about loud music., pensive,Https://markwhiting.github.io/rme/RMET_Face24.png
25, panicked, incredulous, despondent, interested,"distraught, feeling of terror or anxiety",not believing,"gloomy, despairing, without hope","inquiring, curious","On waking to find the house on fire, the whole family was panicked.",Simon was incredulous when he heard that he had won the lottery.,Gary was despondent when he did not get the job he wanted.,"After seeing Jurassic Park, Hugh grew very interested in dinosaurs.", interested,Https://markwhiting.github.io/rme/RMET_Face25.png
26, alarmed, shy, hostile, anxious,"fearful, worried, filled with anxiety","shamed, insecure",unfriendly,"worried, tense, uneasy",Claire was alarmed when she thought she was being followed home.,She asked for forgiveness shyly.,The two neighbours were hostile towards each other because of an argument about loud music.,The student was feeling anxious before taking her final exams., hostile,Https://markwhiting.github.io/rme/RMET_Face26.png
27, joking, cautious, arrogant, reassuring,"being funny, playful","careful, wary","conceited, self-important, having a big opinion of oneself","supporting, encouraging, giving someone confidence",Gary was always joking with his friends.,Sarah was always a bit cautious when talking to someone she did not know.,The arrogant man thought he knew more about politics than everyone else in the room.,Andy tried to look reassuring as he told his wife that her new dress did suit her., cautious,Https://markwhiting.github.io/rme/RMET_Face27.png
28, interested, joking, affectionate, contented,"inquiring, curious","being funny, playful",showing fondness towards someone,satisfied,"After seeing Jurassic Park, Hugh grew very interested in dinosaurs.",Gary was always joking with his friends.,Most mothers are affectionate to their babies by giving them lots of kisses and cuddles.,"After a nice walk and a good meal, David felt very contented.", interested,Https://markwhiting.github.io/rme/RMET_Face28.png
29, impatient, aghast, irritated, reflective,"restless, wanting something to happen soon","horrified, astonished, alarmed","exasperated, annoyed","contemplative, thoughtful",Jane grew increasingly impatient as she waited for her friend who was already 20 minutes late.,Jane was aghast when she discovered her house had been burgled.,Frances was irritated by all the junk mail she received.,George was in a reflective mood as he thought about what he'd done with his life., reflective,Https://markwhiting.github.io/rme/RMET_Face29.png
30, grateful, flirtatious, hostile, disappointed,thankful,"brazen, saucy, teasing, playful",unfriendly,"displeased, disgruntled",Kelly was very grateful for the kindness shown by the stranger.,Connie was accused of being flirtatious when she winked at a stranger at a party.,The two neighbours were hostile towards each other because of an argument about loud music.,Manchester United fans were disappointed not to win the Championship., flirtatious,Https://markwhiting.github.io/rme/RMET_Face30.png
31, ashamed, confident, joking, dispirited,overcome with shame or guilt,"self-assured, believing in oneself","being funny, playful","glum, miserable, low",The boy felt ashamed when his mother discovered him stealing money from her purse.,The tennis player was feeling very confident about winning his match.,Gary was always joking with his friends.,Adam was dispirited when he failed his exams., confident,Https://markwhiting.github.io/rme/RMET_Face31.png
32, serious, ashamed, bewildered, alarmed,"solemn, grave",overcome with shame or guilt,"utterly confused, puzzled, dazed","fearful, worried, filled with anxiety",The bank manager looked serious as he refused Nigel an overdraft.,The boy felt ashamed when his mother discovered him stealing money from her purse.,The child was bewildered when visiting the big city for the first time.,Claire was alarmed when she thought she was being followed home., serious,Https://markwhiting.github.io/rme/RMET_Face32.png
33, embarrassed, guilty, fantasizing, concerned,ashamed,feeling sorry for doing something wrong,daydreaming,"worried, troubled","After forgetting a colleague's name, Jenny felt very embarrassed.",Charlie felt guilty about having an affair.,Emma was fantasizing about being a film star.,The doctor was concerned when his patient took a turn for the worse., concerned,Https://markwhiting.github.io/rme/RMET_Face33.png
34, aghast, baffled, distrustful, terrified,"horrified, astonished, alarmed","confused, puzzled, dumbfounded","suspicious, doubtful, wary","alarmed, fearful",Jane was aghast when she discovered her house had been burgled.,The detectives were completely baffled by the murder case.,The old woman was distrustful of the stranger at her door.,The boy was terrified when he thought he saw a ghost., distrustful,Https://markwhiting.github.io/rme/RMET_Face34.png
35, puzzled, nervous, insisting, contemplative,"perplexed, bewildered, confused","apprehensive, tense, worried","demanding, persisting, maintaining","reflective, thoughtful, considering","After doing the crossword for an hour, June was still puzzled by one clue.","Just before her job interview, Alice felt very nervous.","After a work outing, Frank was insisting he paid the bill for everyone.",John was in a contemplative mood on the eve of his 60th birthday., nervous,Https://markwhiting.github.io/rme/RMET_Face35.png
36, ashamed, nervous, suspicious, indecisive,overcome with shame or guilt,"apprehensive, tense, worried","disbelieving, suspecting, doubting","unsure, hesitant, unable to make your mind up",The boy felt ashamed when his mother discovered him stealing money from her purse.,"Just before her job interview, Alice felt very nervous.","After Sam had lost his wallet for the second time at work, he grew suspicious of one of his colleagues.",Tammy was so indecisive that she couldn't even decide what to have for lunch., suspicious,Https://markwhiting.github.io/rme/RMET_Face36.png